schwebung 19.2cm
26.360 -0.405 3.944
26.385 -0.605 3.992
26.410 -0.782 3.944
26.435 -1.004 3.895
26.460 -1.204 3.798
26.485 -1.360 3.701
26.510 -1.515 3.482
26.535 -1.693 3.409
26.560 -1.848 3.190
26.585 -1.981 2.996
26.610 -2.048 2.777
26.635 -2.159 2.559
26.660 -2.225 2.291
26.685 -2.381 2.000
26.710 -2.425 1.684
26.735 -2.492 1.416
26.760 -2.470 1.149
26.785 -2.492 0.785
26.810 -2.514 0.517
26.835 -2.470 0.177
26.860 -2.336 -0.090
26.885 -2.336 -0.309
26.910 -2.203 -0.698
26.935 -2.159 -0.819
26.960 -2.026 -1.062
26.985 -1.892 -1.256
27.010 -1.781 -1.475
27.035 -1.648 -1.645
27.060 -1.471 -1.767
