E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
14.46	1	14.46	3	14.46	11	14.46	4	14.46	0	14.46	3	14.46	0
14.53	0	14.53	4	14.53	17	14.53	3	14.53	2	14.53	1	14.53	2
14.60	0	14.60	4	14.60	20	14.60	3	14.60	0	14.60	2	14.60	1
14.66	0	14.66	6	14.66	15	14.66	1	14.66	1	14.66	2	14.66	1
14.73	0	14.73	5	14.73	21	14.73	5	14.73	0	14.73	3	14.73	1
14.80	0	14.80	6	14.80	30	14.80	3	14.80	0	14.80	1	14.80	2
14.86	0	14.86	4	14.86	18	14.86	2	14.86	0	14.86	0	14.86	1
14.93	0	14.93	5	14.93	42	14.93	1	14.93	2	14.93	1	14.93	0
15.00	0	15.00	3	15.00	33	15.00	0	15.00	2	15.00	2	15.00	1
15.06	0	15.06	4	15.06	67	15.06	1	15.06	1	15.06	0	15.06	4
15.13	1	15.13	3	15.13	68	15.13	1	15.13	0	15.13	1	15.13	2
15.20	0	15.20	6	15.20	100	15.20	1	15.20	0	15.20	0	15.20	1
15.26	0	15.26	4	15.26	131	15.26	0	15.26	1	15.26	3	15.26	2
15.33	0	15.33	7	15.33	186	15.33	1	15.33	1	15.33	1	15.33	0
15.40	0	15.40	5	15.40	264	15.40	2	15.40	0	15.40	2	15.40	3
15.46	0	15.46	3	15.46	325	15.46	1	15.46	2	15.46	0	15.46	5
15.53	0	15.53	6	15.53	408	15.53	2	15.53	1	15.53	2	15.53	4
15.60	1	15.60	13	15.60	490	15.60	0	15.60	1	15.60	1	15.60	2
15.66	0	15.66	9	15.66	625	15.66	2	15.66	0	15.66	0	15.66	4
15.73	2	15.73	6	15.73	690	15.73	2	15.73	0	15.73	0	15.73	0
15.80	1	15.80	8	15.80	710	15.80	1	15.80	0	15.80	0	15.80	2
15.86	1	15.86	8	15.86	736	15.86	1	15.86	2	15.86	2	15.86	2
15.93	0	15.93	9	15.93	686	15.93	3	15.93	0	15.93	1	15.93	2
16.00	1	16.00	7	16.00	615	16.00	0	16.00	2	16.00	1	16.00	2
16.06	1	16.06	7	16.06	489	16.06	1	16.06	1	16.06	0	16.06	3
16.13	0	16.13	11	16.13	314	16.13	0	16.13	2	16.13	1	16.13	4
16.19	0	16.19	10	16.19	217	16.19	3	16.19	1	16.19	0	16.19	4
16.26	1	16.26	13	16.26	130	16.26	2	16.26	0	16.26	0	16.26	0
16.33	0	16.33	14	16.33	88	16.33	3	16.33	1	16.33	1	16.33	3
16.39	0	16.39	13	16.39	37	16.39	0	16.39	1	16.39	0	16.39	1
16.46	1	16.46	14	16.46	27	16.46	1	16.46	0	16.46	1	16.46	0
16.53	2	16.53	14	16.53	14	16.53	0	16.53	1	16.53	0	16.53	1
16.59	2	16.59	23	16.59	13	16.59	1	16.59	0	16.59	2	16.59	3
16.66	2	16.66	25	16.66	10	16.66	3	16.66	3	16.66	2	16.66	1
16.73	0	16.73	28	16.73	4	16.73	3	16.73	0	16.73	1	16.73	4
16.79	0	16.79	61	16.79	14	16.79	0	16.79	3	16.79	1	16.79	6
16.86	1	16.86	66	16.86	13	16.86	3	16.86	0	16.86	0	16.86	3
16.93	0	16.93	84	16.93	12	16.93	3	16.93	2	16.93	0	16.93	2
16.99	3	16.99	104	16.99	21	16.99	4	16.99	2	16.99	0	16.99	4
17.06	1	17.06	163	17.06	22	17.06	2	17.06	2	17.06	0	17.06	1
17.13	1	17.13	194	17.13	26	17.13	2	17.13	2	17.13	0	17.13	4
17.19	1	17.19	225	17.19	32	17.19	2	17.19	2	17.19	0	17.19	9
17.26	2	17.26	314	17.26	42	17.26	2	17.26	5	17.26	0	17.26	7
17.33	1	17.33	296	17.33	45	17.33	5	17.33	1	17.33	2	17.33	5
17.39	0	17.39	388	17.39	59	17.39	2	17.39	2	17.39	0	17.39	8
17.46	0	17.46	377	17.46	76	17.46	4	17.46	3	17.46	4	17.46	13
17.53	2	17.53	420	17.53	87	17.53	0	17.53	1	17.53	1	17.53	7
17.59	1	17.59	407	17.59	99	17.59	1	17.59	3	17.59	0	17.59	11
